,rk,player,tm,fantpos,age,games,games_started,passes_completed,pass_attempts,passing_yds,passing_td,passes_intercepted,rushing_att,rushing_yds,yds_rushing_att,rushing_td,targets,receptions,receiving_yds,yds_reception,receiving_td,fumbles,fumbles_lost,touchdowns,2_pt_conv_made,2_pt_conv_passes,fantasy_points,fantasy_points_ppr_,draftkings_points,fanduel_points,vbd,posrank,ovrank
223,224,Aaron Jones,MIN,RB,31,3,3,0,0,0,0,0,18,61,3.39,0,8,5,59,11.80,1,0,0,1,,,18,23.0,23.0,20.5,,59,
224,225,Zay Jones,ARI,WR,30,6,0,0,0,0,0,0,0,0,,0,17,12,183,15.25,0,0,0,0,,,18,30.3,33.3,24.3,,86,
225,226,Josh Oliver,MIN,TE,28,7,2,0,0,0,0,0,0,0,,0,7,5,61,12.20,2,0,0,2,,,18,23.1,23.1,20.6,,38,
226,227,Chris Rodriguez,WAS,RB,25,5,2,0,0,0,0,0,26,117,4.50,1,0,0,0,,0,0,0,1,,,18,17.7,20.7,17.7,,60,
227,228,Zavier Scott,MIN,RB,26,6,0,0,0,0,0,0,21,69,3.29,0,12,10,73,7.30,1,2,1,1,,,18,28.2,29.2,23.2,,58,
228,229,Devontez Walker,BAL,WR,24,5,1,0,0,0,0,0,0,0,,0,3,3,60,20.00,2,0,0,2,,,18,21.0,21.0,19.5,,89,
229,230,Brock Wright,DET,TE,27,7,4,0,0,0,0,0,0,0,,0,9,8,60,7.50,2,0,0,2,,,18,26.0,26.0,22.0,,39,
230,231,Olamide Zaccheaus,CHI,WR,28,6,2,0,0,0,0,0,4,25,6.25,0,31,18,152,8.44,0,0,0,0,,,18,35.7,38.7,26.7,,90,
231,232,Chimere Dike,TEN,WR,24,7,3,0,0,0,0,0,7,16,2.29,0,22,13,96,7.38,1,0,0,1,,,17,30.2,30.2,23.7,,93,
232,233,Kyle Juszczyk,SFO,FB,34,7,7,0,0,0,0,0,2,-3,-1.50,0,13,12,110,9.17,1,0,0,1,,,17,28.7,31.7,22.7,,61,
233,234,Michael Mayer,LVR,TE,24,5,5,0,0,0,0,0,0,0,,0,16,12,107,8.92,1,0,0,1,,,17,28.7,31.7,22.7,,42,
234,235,Jaylin Noel,HOU,WR,23,6,1,0,0,0,0,0,2,7,3.50,0,14,9,99,11.00,1,0,0,1,,,17,25.6,25.6,21.1,,94,
235,236,Isaac TeSlaa,DET,WR,23,7,1,0,0,0,0,0,0,0,,0,6,3,54,18.00,2,0,0,2,,,17,20.4,20.4,18.9,,92,
236,237,Joe Burrow,CIN,QB,29,2,2,21,36,189,2,0,2,3,1.50,0,0,0,0,,0,0,0,0,,,16,15.9,15.9,15.9,,40,
237,238,Tre Harris,LAC,WR,23,8,4,0,0,0,0,0,0,0,,0,15,11,103,9.36,1,0,0,1,,,16,27.3,30.3,21.8,,95,
238,239,Rashee Rice,KAN,WR,25,1,1,0,0,0,0,0,0,0,,0,10,7,42,6.00,2,0,0,2,,,16,23.2,23.2,19.7,,96,
239,240,Brian Robinson Jr.,SFO,RB,26,7,0,0,0,0,0,0,36,144,4.00,0,6,5,11,2.20,0,0,0,0,,,16,20.5,23.5,18.0,,62,
240,241,Darnell Washington,PIT,TE,24,6,5,0,0,0,0,0,0,0,,0,14,9,84,9.33,1,1,0,1,1,,16,25.4,25.4,20.9,,43,
241,242,Jerome Ford,CLE,RB,26,7,0,0,0,0,0,0,21,73,3.48,0,23,20,77,3.85,0,0,0,0,,,15,35.0,35.0,25.0,,63,
242,243,Gunnar Helm,TEN,TE,23,7,4,0,0,0,0,0,0,0,,0,21,17,149,8.76,0,0,0,0,,,15,31.9,34.9,23.4,,44,
243,244,Terry McLaurin,WAS,WR,30,3,3,0,0,0,0,0,0,0,,0,17,10,149,14.90,0,0,0,0,,,15,24.9,27.9,19.9,,97,
244,245,Darnell Mooney,ATL,WR,28,4,4,0,0,0,0,0,0,0,,0,21,10,147,14.70,0,0,0,0,,,15,24.7,27.7,19.7,,99,
245,246,Elijah Moore,BUF,WR,25,5,1,0,0,0,0,0,5,25,5.00,1,7,4,64,16.00,0,0,0,1,,,15,18.9,18.9,16.9,,98,
